2列目 - 1列目 + 3列目 = 最も似た単語:類似度, 正解の単語
Greece - Athens + Baghdad = Iraqi: 0.6727433800697327, 正解(Iraq)
Greece - Athens + Bangkok = Thailand: 0.7350419163703918, 正解(Thailand)
Greece - Athens + Beijing = China: 0.7186591029167175, 正解(China)
Greece - Athens + Berlin = Germany: 0.6720892190933228, 正解(Germany)
Greece - Athens + Bern = Switzerland: 0.502210259437561, 正解(Switzerland)
Greece - Athens + Cairo = Egypt: 0.7626821994781494, 正解(Egypt)
Greece - Athens + Canberra = Australia: 0.6071872115135193, 正解(Australia)
Greece - Athens + Hanoi = Ha_Noi: 0.6620964407920837, 正解(Vietnam)
Greece - Athens + Havana = Cuba: 0.6718211770057678, 正解(Cuba)
Greece - Athens + Helsinki = Finland: 0.7059127688407898, 正解(Finland)
Greece - Athens + Islamabad = Pakistan: 0.7518504858016968, 正解(Pakistan)
Greece - Athens + Kabul = Afghan: 0.6532939672470093, 正解(Afghanistan)
Greece - Athens + London = Britain: 0.5481627583503723, 正解(England)
Greece - Athens + Madrid = Spain: 0.7145950198173523, 正解(Spain)
Greece - Athens + Moscow = Russia: 0.7455829977989197, 正解(Russia)
Greece - Athens + Oslo = Norway: 0.6623441576957703, 正解(Norway)
Greece - Athens + Ottawa = Canada: 0.5916039943695068, 正解(Canada)
Greece - Athens + Paris = France: 0.6609893441200256, 正解(France)
Greece - Athens + Rome = Italy: 0.685460090637207, 正解(Italy)
Greece - Athens + Stockholm = Sweden: 0.6912102103233337, 正解(Sweden)
Greece - Athens + Tehran = Iran: 0.8067933917045593, 正解(Iran)
Greece - Athens + Tokyo = Japan: 0.7413715124130249, 正解(Japan)
Iraq - Baghdad + Bangkok = Thailand: 0.6682885885238647, 正解(Thailand)
Iraq - Baghdad + Beijing = China: 0.6535987257957458, 正解(China)
Iraq - Baghdad + Berlin = Germany: 0.5533341765403748, 正解(Germany)
Iraq - Baghdad + Bern = coach_Bobby_Curlings: 0.4266115725040436, 正解(Switzerland)
Iraq - Baghdad + Cairo = Egypt: 0.6534473896026611, 正解(Egypt)
Iraq - Baghdad + Canberra = Mr_Rudd: 0.6027385592460632, 正解(Australia)
Iraq - Baghdad + Hanoi = Vietnam: 0.7184410691261292, 正解(Vietnam)
Iraq - Baghdad + Havana = Cuba: 0.6987202763557434, 正解(Cuba)
Iraq - Baghdad + Helsinki = Finland: 0.5934720039367676, 正解(Finland)
Iraq - Baghdad + Islamabad = Pakistan: 0.7500633597373962, 正解(Pakistan)
Iraq - Baghdad + Kabul = Afghanistan: 0.7953290343284607, 正解(Afghanistan)
Iraq - Baghdad + London = Britain: 0.5146150588989258, 正解(England)
Iraq - Baghdad + Madrid = Spain: 0.5823049545288086, 正解(Spain)
Iraq - Baghdad + Moscow = Russia: 0.6959004402160645, 正解(Russia)
Iraq - Baghdad + Oslo = Norway: 0.5957891941070557, 正解(Norway)
Iraq - Baghdad + Ottawa = Canada: 0.5305148363113403, 正解(Canada)
Iraq - Baghdad + Paris = France: 0.5740856528282166, 正解(France)
Iraq - Baghdad + Rome = Italy: 0.4927106201648712, 正解(Italy)
Iraq - Baghdad + Stockholm = Sweden: 0.5840326547622681, 正解(Sweden)
Iraq - Baghdad + Tehran = Iran: 0.8142861723899841, 正解(Iran)
Iraq - Baghdad + Tokyo = Japan: 0.6880860328674316, 正解(Japan)
Iraq - Baghdad + Athens = Greece: 0.5432136654853821, 正解(Greece)
Thailand - Bangkok + Beijing = China: 0.7940763831138611, 正解(China)
Thailand - Bangkok + Berlin = Germany: 0.6952570080757141, 正解(Germany)
Thailand - Bangkok + Bern = Switzerland: 0.4751628041267395, 正解(Switzerland)
Thailand - Bangkok + Cairo = Egypt: 0.7917214035987854, 正解(Egypt)
Thailand - Bangkok + Canberra = Australia: 0.7007624506950378, 正解(Australia)
Thailand - Bangkok + Hanoi = Viet_Nam: 0.7639291882514954, 正解(Vietnam)
Thailand - Bangkok + Havana = Cuba: 0.7968916296958923, 正解(Cuba)
Thailand - Bangkok + Helsinki = Finland: 0.7412458658218384, 正解(Finland)
Thailand - Bangkok + Islamabad = Pakistan: 0.8046010732650757, 正解(Pakistan)
Thailand - Bangkok + Kabul = Afghan: 0.6952521204948425, 正解(Afghanistan)
Thailand - Bangkok + London = Britain: 0.6129387617111206, 正解(England)
Thailand - Bangkok + Madrid = Spain: 0.7420569658279419, 正解(Spain)
Thailand - Bangkok + Moscow = Russia: 0.8440238833427429, 正解(Russia)
Thailand - Bangkok + Oslo = Norway: 0.7004654407501221, 正解(Norway)
Thailand - Bangkok + Ottawa = Canada: 0.6377133727073669, 正解(Canada)
Thailand - Bangkok + Paris = France: 0.7117958664894104, 正解(France)
Thailand - Bangkok + Rome = Italy: 0.6599951386451721, 正解(Italy)
Thailand - Bangkok + Stockholm = Sweden: 0.7468711137771606, 正解(Sweden)
